2020-11-08 19:40:00;129870;129890;129750;129790
2020-11-08 19:45:00;129790;129850;129760;129780
2020-11-08 19:50:00;129770;129810;129760;129780
2020-11-08 19:55:00;129760;129800;129680;129750
2020-11-08 20:00:00;129740;129750;129620;129640
2020-11-08 20:05:00;129650;129750;129610;129710
2020-11-08 20:10:00;129720;129740;129670;129710
2020-11-08 20:15:00;129700;129710;129610;129700
2020-11-08 20:20:00;129690;129810;129610;129800
2020-11-08 20:25:00;129790;129800;129720;129740
2020-11-08 20:30:00;129740;129740;129670;129690
2020-11-08 20:35:00;129680;129720;129590;129680
2020-11-08 20:40:00;129690;129740;129650;129700
2020-11-08 20:45:00;129700;129700;129570;129610
2020-11-08 20:50:00;129610;129620;129540;129610
2020-11-08 20:55:00;129610;129710;129600;129670
2020-11-08 21:00:00;129660;129710;129630;129650
2020-11-08 21:05:00;129660;129710;129630;129700
2020-11-08 21:10:00;129700;129720;129620;129630
2020-11-08 21:15:00;129630;129660;129570;129620
2020-11-08 21:20:00;129630;129650;129570;129570
2020-11-08 21:25:00;129580;129590;129420;129450
2020-11-08 21:30:00;129440;129470;129300;129390
2020-11-08 21:35:00;129390;129390;129130;129200
2020-11-08 21:40:00;129220;129330;129190;129250
2020-11-08 21:45:00;129250;129250;129140;129190
2020-11-08 21:50:00;129180;129320;129150;129290
2020-11-08 21:55:00;129290;129330;129230;129330
2020-11-08 22:00:00;129320;129330;129200;129200
2020-11-08 22:05:00;129200;129280;129160;129190
2020-11-08 22:10:00;129180;129260;129080;129090
2020-11-08 22:15:00;129080;129100;128590;128710
2020-11-08 22:20:00;128720;128720;128490;128500
2020-11-08 22:25:00;128500;128690;128480;128620
2020-11-08 22:30:00;128630;128630;128320;128330
2020-11-08 22:35:00;128330;128490;128300;128380
2020-11-08 22:40:00;128370;128450;128350;128370
2020-11-08 22:45:00;128360;128380;128240;128360
2020-11-08 22:50:00;128350;128370;128230;128350
2020-11-08 22:55:00;128340;128490;128330;128380
2020-11-08 23:00:00;128360;128380;128260;128320
2020-11-08 23:05:00;128320;128480;128250;128450
2020-11-08 23:10:00;128440;128470;128380;128440
2020-11-08 23:15:00;128440;128450;128400;128410
2020-11-08 23:20:00;128410;128540;128380;128480
2020-11-08 23:25:00;128480;128540;128470;128490
2020-11-08 23:30:00;128490;128590;128480;128580
2020-11-08 23:35:00;128570;128590;128500;128500
2020-11-08 23:40:00;128520;128580;128470;128470
2020-11-08 23:45:00;128480;128540;128380;128460
2020-12-08 10:00:00;128560;129160;128480;128970
2020-12-08 10:05:00;128950;129180;128540;128590
2020-12-08 10:10:00;128590;128600;128240;128260
2020-12-08 10:15:00;128260;128560;128230;128490
2020-12-08 10:20:00;128480;128930;128390;128810
2020-12-08 10:25:00;128810;129070;128800;128890
2020-12-08 10:30:00;128890;129160;128810;128930
2020-12-08 10:35:00;128930;129230;128920;129210
2020-12-08 10:40:00;129220;129270;128960;128970
2020-12-08 10:45:00;128990;129140;128930;129040
2020-12-08 10:50:00;129030;129100;128880;129060
2020-12-08 10:55:00;129060;129330;129040;129300
2020-12-08 11:00:00;129320;129460;129260;129270
2020-12-08 11:05:00;129270;129320;129050;129060
2020-12-08 11:10:00;129060;129240;128960;129110
2020-12-08 11:15:00;129110;129190;129080;129180
2020-12-08 11:20:00;129190;129370;129170;129220
2020-12-08 11:25:00;129220;129310;129140;129160
2020-12-08 11:30:00;129160;129260;129150;129170
2020-12-08 11:35:00;129170;129390;129170;129340
2020-12-08 11:40:00;129350;129470;129340;129410
2020-12-08 11:45:00;129420;129610;129420;129500
2020-12-08 11:50:00;129500;129530;129280;129350
2020-12-08 11:55:00;129340;129470;129310;129440
2020-12-08 12:00:00;129450;129480;129300;129430
2020-12-08 12:05:00;129420;129440;129320;129370
2020-12-08 12:10:00;129380;129770;129340;129730
2020-12-08 12:15:00;129710;129810;129710;129750
2020-12-08 12:20:00;129740;129850;129670;129850
2020-12-08 12:25:00;129840;129950;129810;129940
2020-12-08 12:30:00;129930;129990;129860;129920
2020-12-08 12:35:00;129920;129940;129810;129890
2020-12-08 12:40:00;129890;129900;129750;129780
2020-12-08 12:45:00;129790;129930;129770;129850
2020-12-08 12:50:00;129860;130000;129820;129900
2020-12-08 12:55:00;129890;129910;129660;129690
2020-12-08 13:00:00;129710;129810;129660;129700
2020-12-08 13:05:00;129710;129740;129610;129650
2020-12-08 13:10:00;129660;129920;129640;129890
2020-12-08 13:15:00;129890;129960;129810;129830
2020-12-08 13:20:00;129830;129840;129690;129710
2020-12-08 13:25:00;129710;129860;129710;129830
2020-12-08 13:30:00;129830;129860;129790;129820
2020-12-08 13:35:00;129830;130100;129830;130060
2020-12-08 13:40:00;130060;130090;129850;129850
2020-12-08 13:45:00;129850;129900;129730;129750
2020-12-08 13:50:00;129760;129800;129710;129730
2020-12-08 13:55:00;129730;129870;129720;129820
2020-12-08 14:05:00;129810;129810;129620;129650
2020-12-08 14:10:00;129660;129760;129630;129680
2020-12-08 14:15:00;129680;129860;129680;129820
2020-12-08 14:20:00;129820;129870;129530;129610
2020-12-08 14:25:00;129600;129720;129470;129670
2020-12-08 14:30:00;129680;129770;129650;129710
2020-12-08 14:35:00;129710;129720;129570;129660
2020-12-08 14:40:00;129660;129740;129530;129550
2020-12-08 14:45:00;129560;129610;129510;129580
2020-12-08 14:50:00;129590;129730;129560;129690
2020-12-08 14:55:00;129700;129820;129660;129730
2020-12-08 15:00:00;129740;129770;129580;129650
2020-12-08 15:05:00;129640;129720;129600;129620
2020-12-08 15:10:00;129620;129740;129580;129690
2020-12-08 15:15:00;129700;129760;129630;129720
2020-12-08 15:20:00;129730;129740;129610;129650
2020-12-08 15:25:00;129640;129660;129560;129580
2020-12-08 15:30:00;129570;129640;129410;129560
2020-12-08 15:35:00;129560;129940;129560;129880
2020-12-08 15:40:00;129890;129930;129770;129810
2020-12-08 15:45:00;129820;129940;129810;129890
2020-12-08 15:50:00;129900;129910;129770;129820
2020-12-08 15:55:00;129810;129930;129750;129890
2020-12-08 16:00:00;129890;130030;129810;129840
2020-12-08 16:05:00;129830;129920;129780;129780
2020-12-08 16:10:00;129790;129830;129600;129660
2020-12-08 16:15:00;129660;129670;129530;129540
2020-12-08 16:20:00;129540;129630;129350;129430
2020-12-08 16:25:00;129430;129540;129360;129500
2020-12-08 16:30:00;129500;129590;129370;129390
2020-12-08 16:35:00;129390;129470;129130;129150
2020-12-08 16:40:00;129140;129290;129070;129250
2020-12-08 16:45:00;129250;129550;129150;129510
2020-12-08 16:50:00;129510;129510;129330;129370
2020-12-08 16:55:00;129370;129520;129320;129420
2020-12-08 17:00:00;129420;129570;129350;129540
2020-12-08 17:05:00;129550;129610;129480;129500
2020-12-08 17:10:00;129500;129540;129390;129500
2020-12-08 17:15:00;129500;129750;129500;129680
2020-12-08 17:20:00;129670;129890;129670;129890
2020-12-08 17:25:00;129880;129920;129760;129860
2020-12-08 17:30:00;129870;130140;129710;129980
2020-12-08 17:35:00;129960;130050;129660;129690
2020-12-08 17:40:00;129680;129890;129680;129830
2020-12-08 17:45:00;129840;129970;129720;129770
2020-12-08 17:50:00;129780;130010;129760;129990
2020-12-08 17:55:00;129990;130380;129950;130330
2020-12-08 18:00:00;130330;130420;130280;130370
2020-12-08 18:05:00;130380;130470;130310;130390
2020-12-08 18:10:00;130390;130570;130300;130300
2020-12-08 18:15:00;130310;130430;130220;130250
2020-12-08 18:20:00;130260;130370;130230;130290
2020-12-08 18:25:00;130310;130380;130240;130330
2020-12-08 18:30:00;130340;130460;130320;130330
2020-12-08 18:35:00;130330;130390;130230;130240
2020-12-08 18:40:00;130240;130450;130240;130410
2020-12-08 19:05:00;130450;130560;130300;130320
2020-12-08 19:10:00;130320;130400;130260;130340
2020-12-08 19:15:00;130350;130390;130310;130320
2020-12-08 19:20:00;130310;130420;130300;130420
2020-12-08 19:25:00;130420;130490;130390;130460
2020-12-08 19:30:00;130460;130500;130410;130450
2020-12-08 19:35:00;130460;130460;130370;130460
2020-12-08 19:40:00;130450;130480;130380;130430
2020-12-08 19:45:00;130430;130440;130380;130430
2020-12-08 19:50:00;130420;130550;130410;130540
2020-12-08 19:55:00;130530;130610;130470;130520
2020-12-08 20:00:00;130510;130690;130490;130620
2020-12-08 20:05:00;130620;130690;130520;130520
2020-12-08 20:10:00;130520;130570;130490;130530
2020-12-08 20:15:00;130520;130670;130500;130650
2020-12-08 20:20:00;130660;130680;130630;130630
2020-12-08 20:25:00;130640;130640;130500;130590
2020-12-08 20:30:00;130580;130640;130560;130590
2020-12-08 20:35:00;130590;130690;130590;130690
2020-12-08 20:40:00;130680;130870;130650;130850
2020-12-08 20:45:00;130850;130870;130760;130790
2020-12-08 20:50:00;130790;130820;130760;130820
2020-12-08 20:55:00;130820;130890;130820;130860
2020-12-08 21:00:00;130860;130890;130780;130810
2020-12-08 21:05:00;130810;130830;130770;130790
2020-12-08 21:10:00;130780;130950;130780;130950
2020-12-08 21:15:00;130950;130960;130890;130900
2020-12-08 21:20:00;130890;130930;130860;130890
2020-12-08 21:25:00;130880;130990;130870;130900
2020-12-08 21:30:00;130900;130990;130900;130960
2020-12-08 21:35:00;130960;130980;130910;130910
2020-12-08 21:40:00;130920;130950;130910;130910
2020-12-08 21:45:00;130920;130960;130900;130940
2020-12-08 21:50:00;130930;130950;130870;130870
2020-12-08 21:55:00;130870;130890;130820;130840
2020-12-08 22:00:00;130840;130850;130790;130800
2020-12-08 22:05:00;130800;130830;130680;130700
2020-12-08 22:10:00;130690;130730;130650;130710
2020-12-08 22:15:00;130710;130790;130680;130790
2020-12-08 22:20:00;130780;130810;130760;130790
2020-12-08 22:25:00;130780;130790;130650;130650
2020-12-08 22:30:00;130660;130660;130510;130600
2020-12-08 22:35:00;130600;130680;130590;130660
2020-12-08 22:40:00;130670;130730;130630;130670
2020-12-08 22:45:00;130680;130680;130620;130650
2020-12-08 22:50:00;130660;130720;130530;130580
